date,country,election,status
"June 5, 2016",Swiss Confederation,Referendum,Held
"June 5, 2016",Republic of Peru,Election for President,Held
"May 22, 2016",Republic of Austria,Election for President,Held
"May 22, 2016",Socialist Republic of Vietnam,Election for Quoc-Hoi (Vietnamese National Assembly),Held
"May 22, 2016",Republic of Cyprus,Election for Vouli Antiprosopon (Cypriot House of Representatives),Held
"May 22, 2016",Republic of Tajikistan,Referendum,Held
"May 15, 2016",Dominican Republic,Election for President,Held
"May 15, 2016",Dominican Republic,Election for Senado (Dominican Senate),Held
"May 15, 2016",Dominican Republic,Election for Camara de Diputados (Dominican Chamber of Deputies),Held
"May 9, 2016",Republic of the Philippines,Election for Kapulungan Ng Mga Kinatawan (Philippine House of Representatives),Held
"May 9, 2016",Republic of the Philippines,Election for Senado (Philippine Senate),Held
"May 9, 2016",Republic of the Philippines,Election for President,Held
"May 9, 2016",Republic of the Philippines,Election for Vice President (Vice President),Held
"May 5, 2016",Wales,Election for Cynulliad Cenedlaethol Cymru (National Assembly for Wales),Held
"May 5, 2016",Northern Ireland,Election for Tionól Thuaisceart Éireann (Northern Ireland Assembly),Held
"May 5, 2016",Scotland,Election for Pàrlamaid na h-Alba (Scottish Parliament),Held
"April 24, 2016",Republic of Serbia,Election for Narodna skupština (Serbian National Assembly),Held
"April 24, 2016",Republic of Equatorial Guinea,Election for President,Held
"April 24, 2016",Republic of Austria,Election for President,Held
"April 17, 2016",Italian Republic,Referendum,Held
"April 13, 2016",Republic of Korea,Election for Kukhoe (South Korean National Assembly),Held
"April 11, 2016",Republic of the Sudan,Referendum,Held
"April 10, 2016",Union of the Comoros,Election for President,Held
"April 10, 2016",Republic of Peru,Election for President,Held
"April 10, 2016",Republic of Peru,Election for Congreso de la República (Peruvian Congress of the Republic),Held
"April 10, 2016",Republic of Chad,Election for President,Held
"April 8, 2016",Republic of Djibouti,Election for President,Held
"April 6, 2016",Kingdom of the Netherlands,Referendum,Held
"March 31, 2016",Central African Republic,Election for Assemblée Nationale (Central African National Assembly),Held
"March 20, 2016",Republic of Senegal,Referendum,Held
"March 20, 2016",Republic of Niger,Election for President,Held
"March 20, 2016",Republic of the Congo,Election for President,Held
"March 20, 2016",Republic of Benin,Election for President,Held
"March 20, 2016",Republic of Kazakhstan,Election for Mazhilis (Kazakh House of Representatives),Held
"March 20, 2016",Republic of Cabo Verde,Election for Assembleia Nacional (Cabo Verdean National Assembly),Held
"March 20, 2016",Lao People's Democratic Republic,Election for Sapha Heng Xat (Laotian National Assembly),Held
"March 9, 2016",Republic of Kiribati,Election for President,Held
"March 6, 2016",Republic of Benin,Election for President,Held
"March 5, 2016",Slovak Republic,Election for Národná rada (Slovak National Council),Held
"March 4, 2016",Independent State of Samoa,Election for Fono (Samoan Legislative Assembly),Held
"March 3, 2016",New Zealand,Referendum,Held
"Feb. 28, 2016",Swiss Confederation,Referendum,Held
"Feb. 26, 2016",Ireland,Election for Dáil Éireann (Irish House of Representatives),Held
"Feb. 26, 2016",Islamic Republic of Iran,Election for Majles-e-Shura-ye-Eslami (Iranian Islamic Consultative Assembly),Held
"Feb. 26, 2016",Islamic Republic of Iran,Election for Majles-e Khobragan Rahbari (Assembly of Experts for Leadership),Held
"Feb. 25, 2016",Jamaica,Election for Jamaican House of Representatives,Held
"Feb. 21, 2016",Plurinational State of Bolivia,Referendum,Held
"Feb. 21, 2016",Union of the Comoros,Election for President,Held
"Feb. 21, 2016",Republic of Niger,Election for President,Held
"Feb. 21, 2016",Republic of Niger,Election for Assemblée Nationale (Nigerien National Assembly),Held
"Feb. 18, 2016",Republic of Uganda,Election for Parliament (Ugandan National Assembly),Held
"Feb. 18, 2016",Republic of Uganda,Election for President,Held
"Feb. 14, 2016",Central African Republic,Election for President,Held
"Feb. 14, 2016",Central African Republic,Election for Assemblée Nationale (Central African National Assembly),Held
"Jan. 24, 2016",Portuguese Republic,Election for President,Held
"Jan. 22, 2016",Republic of Vanuatu,Election for Ni-Vanuatu Parliament,Held
"Jan. 16, 2016",Republic of China,Election for President,Held
"Jan. 16, 2016",Republic of China,Election for Taiwanese Legislative Yuan,Held
"Dec. 30, 2015",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"Dec. 30, 2015",Central African Republic,Election for President,Held
"Dec. 30, 2015",Central African Republic,Election for Assemblée Nationale (Central African National Assembly),Cancelled
"Dec. 20, 2015",Kingdom of Spain,Election for Congreso de los Diputados (Spanish Congress of Deputies),Held
"Dec. 20, 2015",Kingdom of Spain,Election for Senado (Spanish Senate),Held
"Dec. 18, 2015",Republic of Rwanda,Referendum,Held
"Dec. 16, 2015",Republic of Seychelles,Election for President,Held
"Dec. 13, 2015",Central African Republic,Referendum,Held
"Dec. 9, 2015",Saint Vincent and the Grenadines,Election for Saint Vincentian House of Assembly,Held
"Dec. 6, 2015",Republic of Armenia,Referendum,Held
"Dec. 6, 2015",Bolivarian Republic of Venezuela,Election for Asamblea Nacional (Venezuelan National Assembly),Held
"Dec. 3, 2015",Republic of Seychelles,Election for President,Held
"Dec. 3, 2015",Kingdom of Denmark,Referendum,Held
"Nov. 29, 2015",Burkina Faso,Election for Assemblée Nationale (Burkinabe National Assembly),Postponed
"Nov. 29, 2015",Burkina Faso,Election for President,Postponed
"Nov. 26, 2015",Gibraltar,Election for Gibraltarian Parliament,Held
"Nov. 22, 2015",Argentine Republic,Election for President,Held
"Nov. 22, 2015",Arab Republic of Egypt,Election for Majlis Al-Sha'b (Egyptian People's Assembly),Held
"Nov. 16, 2015",Republic of the Marshall Islands,Election for Nitijela (Marshallese Parliament),Held
"Nov. 8, 2015",Union of Myanmar,Election for Pyithu Hluttaw (Myanmarese House of Representatives),Held
"Nov. 8, 2015",Republic of Croatia,Election for Hrvatski Sabor (Croatian Assembly),Held
"Nov. 8, 2015",Union of Myanmar,Election for Amyotha Hluttaw (Myanmarese House of Nationalities),Held
"Nov. 4, 2015",Belize,Election for Belizean House of Representatives,Held
"Nov. 1, 2015",Republic of Turkey,Election for Türkiye Büyük Millet Meclisi (Grand National Assembly of Turkey),Snap
"Nov. 1, 2015",Republic of Azerbaijan,Election for Milli Məclis (Azerbaijani National Assembly),Held
"Oct. 25, 2015",Republic of Poland,Election for Sejm (Polish Sejm),Held
"Oct. 25, 2015",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"Oct. 25, 2015",Republic of Haiti,Election for President,Confirmed
"Oct. 25, 2015",United Republic of Tanzania,Election for Bunge (Tanzanian National Assembly),Held
"Oct. 25, 2015",Republic of Guatemala,Election for President,Held
"Oct. 25, 2015",United Republic of Tanzania,Election for President,Held
"Oct. 25, 2015",Republic of the Congo,Referendum,Held
"Oct. 25, 2015",Argentine Republic,Election for Senado (Argentinian Senate),Held
"Oct. 25, 2015",Republic of Haiti,Election for Chambre des Députés (Haitian Chamber of Deputies),Held
"Oct. 25, 2015",Republic of Haiti,Election for Sénat (Haitian Senate),Held
"Oct. 25, 2015",Sultanate of Oman,Election for Majlis al-Shura (Omani Consultative Assembly),Held
"Oct. 25, 2015",Argentine Republic,Election for President,Held
"Oct. 25, 2015",Republic of Côte d'Ivoire,Election for President,Held
"Oct. 25, 2015",Republic of Poland,Election for Senat (Polish Senate),Held
"Oct. 19, 2015",Canada,Election for Chambre des Communes (Canadian House of Commons),Held
"Oct. 18, 2015",Swiss Confederation,Election for Nationalrat/Conseil National/Consiglio Nazionale (Swiss National Council),Held
"Oct. 18, 2015",Arab Republic of Egypt,Election for Majlis Al-Sha'b (Egyptian People's Assembly),Confirmed
"Oct. 18, 2015",Swiss Confederation,Election for Standerat/Conseil des Etats/ Consiglio degli Stati (Swiss Council of States),Held
"Oct. 11, 2015",Republic of Guinea,Election for President,Held
"Oct. 11, 2015",Republic of Belarus,Election for President,Held
"Oct. 4, 2015",Kyrgyz Republic,Election for Jorgorku Kenesh (Kyrgyz Supreme Council),Held
"Oct. 4, 2015",Portuguese Republic,Election for Assembleia da República (Portuguese Assembly of the Republic),Held
"Oct. 3, 2015",United Arab Emirates,Election for Majlis al-Ittihad al-Watani (Emirati Federal National Council),Held
"Sept. 27, 2015",Catalunya (Comunitat autònoma d'Espanya),Election for Parlament de Catalunya (Catalan Parliament),Held
"Sept. 20, 2015",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Held
"Sept. 11, 2015",Republic of Singapore,Election for Singapore Parliament,Held
"Sept. 7, 2015",Republic of Trinidad and Tobago,Election for Trinidadian House of Representatives,Held
"Sept. 6, 2015",Republic of Guatemala,Election for Congreso de la Republica (Guatemalan Congress of the Republic),Held
"Sept. 6, 2015",Republic of Poland,Referendum,Held
"Sept. 6, 2015",Republic of Guatemala,Election for President,Held
"Sept. 1, 2015",Faroe Islands,Election for Løgting (Faroese Parliament),Held
"Aug. 17, 2015",Democratic Socialist Republic of Sri Lanka,Election for Sri Lankan Parliament,Held
"Aug. 9, 2015",Republic of Haiti,Election for Chambre des Députés (Haitian Chamber of Deputies),Held
"Aug. 9, 2015",Republic of Haiti,Election for Sénat (Haitian Senate),Held
"July 24, 2015",Republic of Burundi,Election for Inama Nkenguzamateka (Burundian Senate),Held
"July 21, 2015",Republic of Burundi,Election for President,Held
"July 5, 2015",Hellenic Republic,Referendum,Held
"June 29, 2015",Republic of Burundi,Election for Assemblee National (Burundian National Assembly),Held
"June 18, 2015",Kingdom of Denmark,Election for Folketinget (Danish Parliament),Held
"June 14, 2015",Swiss Confederation,Referendum,Held
"June 8, 2015",British Virgin Islands,Election for British Virgin Islands House of Assembly,Held
"June 7, 2015",Grand Duchy of Luxembourg,Referendum,Held
"June 7, 2015",United Mexican States,Election for Camara de Diputados (Mexican Chamber of Deputies),Held
"June 7, 2015",Republic of Turkey,Election for Türkiye Büyük Millet Meclisi (Grand National Assembly of Turkey),Held
"May 25, 2015",Republic of Suriname,Election for Nationale Assemblée (Surinamese National Assembly),Held
"May 24, 2015",Republic of Poland,Election for President,Held
"May 24, 2015",Federal Democratic Republic of Ethiopia,Election for Yehizb Tewokayoch Mekir Bete (Ethiopian House of People's Representatives),Held
"May 22, 2015",Ireland,Referendum,Held
"May 22, 2015",Ireland,Referendum,Held
"May 11, 2015",Cooperative Republic of Guyana,Election for Guyanese National Assembly,Held
"May 10, 2015",Republic of Poland,Election for President,Held
"May 7, 2015",United Kingdom of Great Britain and Northern Ireland,Election for British House of Commons,Held
"April 26, 2015",Republic of Kazakhstan,Election for President,Held
"April 26, 2015",Republic of Benin,Election for Assemblée Nationale (Beninese National Assembly),Held
"April 25, 2015",Togolese Republic,Election for President,Held
"April 22, 2015",Anguilla,Election for Anguillian House of Assembly,Held
"April 19, 2015",Republic of Finland,Election for Eduskunta (Finnish Parliament),Held
"April 13, 2015",Republic of the Sudan,Election for Majlis Watani (Sudanese National Assembly),Held
"April 13, 2015",Republic of the Sudan,Election for President,Held
"April 11, 2015",Republic of Malta,Referendum,Held
"March 31, 2015",Tuvalu,Election for Fale I Fono (Tuvaluan House of Assembly ),Held
"March 29, 2015",Republic of Uzbekistan,Election for President,Held
"March 28, 2015",Federal Republic of Nigeria,Election for President,Held
"March 28, 2015",Federal Republic of Nigeria,Election for Nigerian Senate,Held
"March 28, 2015",Federal Republic of Nigeria,Election for Nigerian House of Representatives,Held
"March 22, 2015",Autonomous Community of Andalusia,Election for Parlamento de Andalucia (Andalusian Parliament),Held
"March 17, 2015",State of Israel,Election for Knesset (Israeli Knesset),Held
"March 8, 2015",Swiss Confederation,Referendum,Held
"March 3, 2015",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Held
"March 1, 2015",Republic of Tajikistan,Election for Majlisi Namoyandagon (Tajikistan Assembly of Representatives),Held
"March 1, 2015",Republic of Estonia,Election for Riigikogu (Estonian Parliament),Held
"March 1, 2015",Principality of Andorra,Election for Consell General d'Andorra (Andorran General Council),Held
"March 1, 2015",Republic of El Salvador,Election for Asamblea Legislativa (Salvadorian Legislative Assembly),Held
"Feb. 28, 2015",Kingdom of Lesotho,Election for Lesotho National Assembly,Snap
"Feb. 22, 2015",Union of the Comoros,Election for Assemblée de l'Union (Comoran Assembly of the Union),Held
"Feb. 18, 2015",Hellenic Republic,Election for President,Held
"Feb. 16, 2015",Federation of Saint Kitts and Nevis,Election for Kittitian and Nevisian National Assembly,Held
"Feb. 7, 2015",Slovak Republic,Referendum,Held
"Jan. 25, 2015",Union of the Comoros,Election for Assemblée de l'Union (Comoran Assembly of the Union),Held
"Jan. 25, 2015",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Held
"Jan. 20, 2015",Republic of Zambia,Election for President,Held
"Jan. 11, 2015",Republic of Croatia,Election for President,Held
"Jan. 8, 2015",Democratic Socialist Republic of Sri Lanka,Election for President,Held
"Jan. 4, 2015",Republic of Uzbekistan,Election for Qonunchilik palatasi (Uzbekistani Legislative Chamber),Held
"Dec. 29, 2014",Hellenic Republic,Election for President,Held
"Dec. 28, 2014",Republic of Croatia,Election for President,Held
"Dec. 23, 2014",Hellenic Republic,Election for President,Held
"Dec. 21, 2014",Tunisian Republic,Election for President,Held
"Dec. 21, 2014",Republic of Uzbekistan,Election for Qonunchilik palatasi (Uzbekistani Legislative Chamber),Held
"Dec. 20, 2014",Republic of Liberia,Election for Liberian Senate,Held
"Dec. 17, 2014",Hellenic Republic,Election for President,Held
"Dec. 14, 2014",Japan,Election for Shugiin (Japanese House of Representatives),Held
"Dec. 10, 2014",Republic of Mauritius,Election for Assemblée Nationale (Mauritian National Assembly),Held
"Dec. 8, 2014",Commonwealth of Dominica,Election for Dominican House of Assembly,Held
"Nov. 30, 2014",Oriental Republic of Uruguay,Election for President,Held
"Nov. 30, 2014",Swiss Confederation,Referendum,Held
"Nov. 30, 2014",Republic of Moldova,Election for Parlament (Moldovan Parliament),Held
"Nov. 28, 2014",Greenland,Election for Kalaallit Nunaanni Inatsisartut (Greenland Diet),Held
"Nov. 28, 2014",Republic of Namibia,Election for President,Held
"Nov. 28, 2014",Republic of Namibia,Election for Namibian National Assembly,Held
"Nov. 27, 2014",Kingdom of Tonga,Election for Fale Alea (Tongan Legislative Assembly),Held
"Nov. 23, 2014",Tunisian Republic,Election for President,Held
"Nov. 22, 2014",Kingdom of Bahrain,Election for Majlis Al-Nuwab (Bahraini Council of Representatives),Held
"Nov. 19, 2014",Solomon Islands,Election for Solomon Islander National Parliament,Held
"Nov. 16, 2014",Romania,Election for President,Held
"Nov. 4, 2014",American Samoa,Election for Non-Voting Delegate to US House of Representatives,Held
"Nov. 4, 2014",American Samoa,Election for American Somoan Senate,Held
"Nov. 4, 2014",Territory of Guam,Election for Non-Voting Delegate to US House of Representatives,Held
"Nov. 4, 2014",Territory of Guam,Election for Liheslaturan Guåhan (Legislature of Guam),Held
"Nov. 4, 2014",United States of America,Election for US Senate,Held
"Nov. 4, 2014",American Samoa,Election for American Somoan House of Representatives,Held
"Nov. 4, 2014",United States of America,Election for US House of Representatives,Held
"Nov. 2, 2014",Romania,Election for President,Held
"Oct. 26, 2014",Federative Republic of Brazil,Election for President,Held
"Oct. 26, 2014",Ukraine,Election for Verkhovna Rada (Ukrainian Supreme Council),Held
"Oct. 26, 2014",Oriental Republic of Uruguay,Election for President,Held
"Oct. 26, 2014",Oriental Republic of Uruguay,Election for Cámara de Representantes (Uruguayan Chamber of Representatives),Held
"Oct. 26, 2014",Tunisian Republic,Election for Majlis Nawwab ash-Sha'ab (Tunisian Assembly of People's Representatives),Held
"Oct. 26, 2014",Oriental Republic of Uruguay,Election for Cámara de Senadores (Uruguayan Chamber of Senators),Held
"Oct. 24, 2014",Republic of Bostwana,Election for Botswana National Assembly,Held
"Oct. 15, 2014",Republic of Mozambique,Election for Assembleia da República (Mozambican Assembly ),Held
"Oct. 15, 2014",Republic of Mozambique,Election for President,Held
"Oct. 12, 2014",Plurinational State of Bolivia,Election for President,Held
"Oct. 12, 2014",Plurinational State of Bolivia,Election for Camara de Diputados (Bolivian Chamber of Deputies),Held
"Oct. 12, 2014",Plurinational State of Bolivia,Election for Camara de Senadores (Bolivian Chamber of Senators),Held
"Oct. 12, 2014",Bosnia and Herzegovina,Election for President,Held
"Oct. 12, 2014",Bosnia and Herzegovina,Election for Dom Naroda (Bosnia and Herzegovina House of Peoples),Held
"Oct. 12, 2014",Bosnia and Herzegovina,Election for Predstavnicki Dom (Bosnia and Herzegovina House of Representatives),Held
"Oct. 5, 2014",Federative Republic of Brazil,Election for Camara dos Deputados (Brazilian Chamber of Deputies),Held
"Oct. 5, 2014",Federative Republic of Brazil,Election for President,Held
"Oct. 5, 2014",Republic of Bulgaria,Election for Narodno Sabranie (Bulgarian National Assembly),Held
"Oct. 5, 2014",Federative Republic of Brazil,Election for Senado Federal (Brazilian Federal Senate),Held
"Oct. 4, 2014",Republic of Latvia,Election for Saeima (Latvian Parliament),Held
"Oct. 1, 2014",Republic of Kazakhstan,Election for Kazakh Senate,Held
"Sept. 28, 2014",Swiss Confederation,Referendum,Held
"Sept. 20, 2014",New Zealand,Election for New Zealand House of Representatives,Held
"Sept. 18, 2014",Scotland,Referendum,Held
"Sept. 17, 2014",Republic of Fiji,Election for Fijian House of Representatives,Held
"Sept. 14, 2014",Kingdom of Sweden,Election for Riksdag (Swedish Parliament),Held
"Sept. 11, 2014",Montserrat,Election for Montserratian Legislative Council,Held
"Aug. 29, 2014",Country of Sint Maarten,Election for Staten (Sint Maarten Parliament),Held
"Aug. 10, 2014",Republic of Turkey,Election for President,Held
"July 13, 2014",Republic of Slovenia,Election for Državni Zbor (Slovenian National Assembly),Held
"July 9, 2014",Republic of Indonesia,Election for President,Held
"July 9, 2014",Cook Islands,Election for Cook Islands Parliament,Held
"June 29, 2014",Republic of Lithuania,Referendum,Held
"June 25, 2014",Libya,Election for Majlis Al Nuwab (Libyan Council of Deputies ),Held
"June 21, 2014",Islamic Republic of Mauritania,Election for President,Held
"June 15, 2014",Republic of Colombia,Election for President,Held
"June 14, 2014",Islamic Republic of Afghanistan,Election for President,Held
"June 12, 2014",Antigua and Barbuda,Election for Antiguan and Barbudan House of Representatives,Held
"June 8, 2014",Republic of Kosovo,Election for Kuvendi i Kosovës/Skupština Kosova (Kosovac Assembly),Held
"June 3, 2014",Syrian Arab Republic,Election for President,Held
"May 26, 2014",Arab Republic of Egypt,Election for President,Held
"May 25, 2014",Ukraine,Election for President,Held
"May 25, 2014",Republic of Lithuania,Election for President,Held
"May 25, 2014",Republic of Colombia,Election for President,Held
"May 25, 2014",Kingdom of Denmark,Referendum,Held
"May 25, 2014",Kingdom of Belgium,Election for Volksvertegenwoordigers / Chambre des Representants (Belgian Chamber of Representatives),Held
"May 22, 2014",European Union,Election for European Parliament,Held
"May 20, 2014",Republic of Malawi,Election for President,Held
"May 20, 2014",Republic of Malawi,Election for Malawian National Assembly,Held
"May 18, 2014",Republic of Guinea-Bissau,Election for President,Held
"May 18, 2014",Swiss Confederation,Referendum,Held
"May 11, 2014",Republic of Lithuania,Election for President,Held
"May 11, 2014",Territory of New Caledonia and Dependencies,Election for Congres du Territoire (New Caledonian Territorial Congress),Held
"May 7, 2014",Republic of South Africa,Election for South African National Assembly,Held
"May 4, 2014",Republic of Panama,Election for President,Held
"May 4, 2014",Republic of Panama,Election for Asamblea Nacional (Panamanian National Assembly),Held
"April 30, 2014",Republic of Iraq,Election for Majlis an-Nuwwab al-`Iraqiyy (Iraqi Council of Representatives),Held
"April 27, 2014",Republic of North Macedonia,Election for President,Held
"April 27, 2014",Republic of North Macedonia,Election for Sobranie (North Macedonian Assembly ),Held
"April 17, 2014",People's Democratic Republic of Algeria,Election for President,Held
"April 13, 2014",Republic of Guinea-Bissau,Election for Assembleia Nacional Popular (Bissau-Guinean People's National Assembly),Held
"April 13, 2014",Republic of Guinea-Bissau,Election for President,Held
"April 13, 2014",Republic of North Macedonia,Election for President,Held
"April 12, 2014",Niue,Election for Niue Fono Ekepule (Niuean Assembly),Held
"April 9, 2014",Republic of Indonesia,Election for Dewan Perwakilan Daerah (Indonesian Regional Representative Council),Held
"April 9, 2014",Republic of Indonesia,Election for Dewan Perwakilan Rakyat (Indonesian House of Representatives),Held
"April 7, 2014",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"April 6, 2014",Hungary,Election for Országgyűlés (Hungarian National Assembly),Held
"April 6, 2014",Republic of Costa Rica,Election for President,Held
"April 5, 2014",Islamic Republic of Afghanistan,Election for President,Held
"March 29, 2014",Slovak Republic,Election for President,Held
"March 22, 2014",Republic of Maldives,Election for Majlis (Maldivian People's Council),Held
"March 16, 2014",Republic of Serbia,Election for Narodna skupština (Serbian National Assembly),Held
"March 15, 2014",Slovak Republic,Election for President,Held
"March 9, 2014",Republic of El Salvador,Election for President,Held
"March 9, 2014",Republic of Colombia,Election for Camara de Representantes (Colombian House of Representatives),Held
"March 9, 2014",Republic of Colombia,Election for Senado (Colombian Senate),Held
"Feb. 20, 2014",Libya,Election for Majlis Al Nuwab (Libyan Council of Deputies ),Held
"Feb. 9, 2014",Swiss Confederation,Referendum,Held
"Feb. 2, 2014",Republic of El Salvador,Election for President,Held
"Feb. 2, 2014",Kingdom of Thailand,Election for Sapha Phuthaen Ratsadon (Thai House of Representatives),Held
"Feb. 2, 2014",Republic of Costa Rica,Election for President,Held
"Feb. 2, 2014",Republic of Costa Rica,Election for Asamblea Legislativa (Costa Rican Legislative Assembly),Held
"Jan. 14, 2014",Arab Republic of Egypt,Referendum,Held
"Jan. 5, 2014",People's Republic of Bangladesh,Election for Jatiya Sangsad (Bangladeshi National Parliament),Held
"Dec. 21, 2013",Islamic Republic of Mauritania,Election for Al Jamiya Al Wataniya (Mauritanian National Assembly),Held
"Dec. 20, 2013",Republic of Madagascar,Election for President,Held
"Dec. 20, 2013",Republic of Madagascar,Election for Assemblée Nationale (Malagasy National Assembly),Held
"Dec. 15, 2013",Republic of Chile,Election for President,Held
"Dec. 15, 2013",Republic of Mali,Election for Assemblée Nationale (Malian National Assembly),Held
"Dec. 15, 2013",Turkmenistan,Election for Mejlis (Turkmen National Assembly),Held
"Dec. 1, 2013",Republic of Croatia,Referendum,Held
"Nov. 24, 2013",Swiss Confederation,Referendum,Held
"Nov. 24, 2013",Republic of Honduras,Election for President,Held
"Nov. 24, 2013",Republic of Mali,Election for Assemblée Nationale (Malian National Assembly),Held
"Nov. 24, 2013",Republic of Honduras,Election for Congreso Nacional (Honduran National Congress),Held
"Nov. 23, 2013",Islamic Republic of Mauritania,Election for Al Jamiya Al Wataniya (Mauritanian National Assembly),Held
"Nov. 22, 2013",New Zealand,Referendum,Held
"Nov. 19, 2013",Federal Democratic Republic of Nepal,Election for Sambidhan Sabha (Nepali Constituent Assembly),Held
"Nov. 17, 2013",Republic of Chile,Election for President,Held
"Nov. 17, 2013",Republic of Chile,Election for Camara de Diputados (Chilean Chamber of Deputies),Held
"Nov. 17, 2013",Republic of Chile,Election for Senado (Chilean Senate),Held
"Nov. 16, 2013",Republic of Maldives,Election for President,Held
"Nov. 9, 2013",Republic of Maldives,Election for President,Held
"Nov. 7, 2013",Falkland Islands (Malvinas),Election for Falkland Legislative Assembly,Held
"Nov. 6, 2013",Republic of Tajikistan,Election for President,Held
"Oct. 27, 2013",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"Oct. 27, 2013",Georgia,Election for President,Held
"Oct. 27, 2013",Argentine Republic,Election for Senado (Argentinian Senate),Held
"Oct. 25, 2013",Czech Republic,Election for Poslanecká Sněmovna (Czech Chamber of Deputies),Held
"Oct. 25, 2013",Republic of Madagascar,Election for President,Held
"Oct. 20, 2013",Republic of San Marino,Referendum,Held
"Oct. 20, 2013",Grand Duchy of Luxembourg,Election for Chambre des Députés (Luxembourg Chamber of Deputies),Held
"Oct. 19, 2013",Republic of Maldives,Election for President,Cancelled
"Oct. 9, 2013",Republic of Azerbaijan,Election for President,Held
"Oct. 7, 2013",Federal Democratic Republic of Ethiopia,Election for President,Held
"Oct. 4, 2013",Ireland,Referendum,Held
"Sept. 30, 2013",Republic of Cameroon,Election for Assemblée Nationale (Cameroonian National Assembly),Held
"Sept. 29, 2013",Republic of Austria,Election for Nationalrat (Austrian National Council),Held
"Sept. 28, 2013",Republic of Guinea,Election for Assemblée Nationale (Guinean National Assembly),Held
"Sept. 27, 2013",Aruba,Election for Staten (Aruban Legislature),Held
"Sept. 22, 2013",Federal Republic of Germany,Election for Bundestag (German Federal Diet),Held
"Sept. 22, 2013",Swiss Confederation,Referendum,Held
"Sept. 20, 2013",Kingdom of Eswatini,Election for Swazi House of Assembly,Held
"Sept. 16, 2013",Republic of Rwanda,Election for Chambre des Députés (Rwandan Chamber of Deputies),Held
"Sept. 15, 2013",Macau Special Administrative Region,Election for Região Administrativa Especial de Macau (Chinese Legislative Council (Macau)),Held
"Sept. 9, 2013",Kingdom of Norway,Election for Storting (Norwegian Parliament),Held
"Sept. 7, 2013",Republic of Maldives,Election for President,Held
"Sept. 7, 2013",Commonwealth of Australia,Election for Australian House of Representatives,Held
"Sept. 7, 2013",Commonwealth of Australia,Election for Australian Senate,Held
"Aug. 11, 2013",Republic of Mali,Election for President,Held
"July 31, 2013",Republic of Zimbabwe,Election for President,Held
"July 31, 2013",Republic of Zimbabwe,Election for Zimbabwean National Assembly,Held
"July 31, 2013",Republic of Zimbabwe,Election for Zimbabwean Senate,Held
"July 30, 2013",Islamic Republic of Pakistan,Election for President,Held
"July 28, 2013",Turkish Republic of Northern Cyprus (TRNC),Election for Cumhuriyet Meclisi (Northern Cyprus Assembly of the Republic),Held
"July 28, 2013",Republic of Mali,Election for President,Held
"July 28, 2013",Kingdom of Cambodia,Election for Radhsphea Ney Preah Recheanachakr Kampuchea (Cambodian National Assembly),Held
"July 27, 2013",State of Kuwait,Election for Majlis al-Umma (Kuwaiti National Assembly),Held
"July 25, 2013",Togolese Republic,Election for Assemblée nationale (Togolese National Assembly),Held
"July 21, 2013",Japan,Election for Sangiin (Japanese House of Councillors),Held
"July 17, 2013",Saint Helena,Election for Saint Helenian Legislative Council,Held
"July 13, 2013",Kingdom of Bhutan,Election for Gyelyong Tshogdu (Bhutanese National Assembly),Held
"June 26, 2013",Mongolia,Election for President,Held
"June 23, 2013",Republic of Albania,Election for Kuvendi i Shqipërisë (Parliament of Albania),Held
"June 14, 2013",Islamic Republic of Iran,Election for President,Held
"June 9, 2013",Swiss Confederation,Referendum,Held
"June 8, 2013",Republic of Nauru,Election for Nauruan Parliament,Held
"May 31, 2013",Kingdom of Bhutan,Election for Gyelyong Tshogdu (Bhutanese National Assembly),Held
"May 26, 2013",Republic of Equatorial Guinea,Election for Camara de Representantes del Pueblo (Equatorial Guinean House of People's Representatives),Held
"May 26, 2013",Republic of Equatorial Guinea,Election for Senado (Equatorial Guinean Senate),Held
"May 22, 2013",Cayman Islands,Election for Cayman Legislative Assembly,Held
"May 13, 2013",Republic of the Philippines,Election for Senado (Philippine Senate),Held
"May 13, 2013",Republic of the Philippines,Election for Kapulungan Ng Mga Kinatawan (Philippine House of Representatives),Held
"May 12, 2013",Republic of Bulgaria,Election for Narodno Sabranie (Bulgarian National Assembly),Held
"May 11, 2013",Islamic Republic of Pakistan,Election for Qaumī Asimbli'e Pākistān (Pakistani National Assembly),Held
"May 5, 2013",Malaysia,Election for Dewan Rakyat (Malaysian House of Representatives),Held
"May 5, 2013",Overseas Lands of French Polynesia,Election for Assemblée de la Polynésie Française (Assembly of French Polynesia),Held
"April 27, 2013",Republic of Iceland,Election for Althing (Icelandic Parliament),Held
"April 23, 2013",Kingdom of Bhutan,Election for Gyelyong Tshogde (Bhutanese National Council),Held
"April 22, 2013",People's Republic of Bangladesh,Election for President,Held
"April 21, 2013",Republic of Paraguay,Election for Camara de Senadores (Paraguayan Chamber of Senators),Held
